"list1_link","list1_selection1_name","list1_selection1_selection2","list1_selection1_selection2_url"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.00 Tesis
(+)","(+)","https://cms.fi.uba.ar/uploads/7000_f3e5b5598f.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.01 Geometría Proyectiva
(+)","(+)","https://cms.fi.uba.ar/uploads/7001_d6c8e9d00f.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.02 Geometría Descriptiva
(+)","(+)","https://cms.fi.uba.ar/uploads/7002_64d783b823.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.03 Medios de Representación A
(+)","(+)","https://cms.fi.uba.ar/uploads/7003_b7b9d87b24.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.04 Dibujo Topográfico
(+)","(+)","https://cms.fi.uba.ar/uploads/7004_334c8672cb.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.05 Topografía I
(+)","(+)","https://cms.fi.uba.ar/uploads/7005_27261f75fc.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.06 Geografía Física y Geología
(+)","(+)","https://cms.fi.uba.ar/uploads/7006_17221e9584.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.07 Cálculo de Compensación
(+)","(+)","https://cms.fi.uba.ar/uploads/7007_b16213532e.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.08 Topografía I
(+)","(+)","https://cms.fi.uba.ar/uploads/7008_004dc77220.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.09 Topografía II
(+)","(+)","https://cms.fi.uba.ar/uploads/7009_74ae616696.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.10 Mediciones con instrumental electrónico
(+)","(+)","https://cms.fi.uba.ar/uploads/7010_6458ff9f61.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.11 Topografía III
(+)","(+)","https://cms.fi.uba.ar/uploads/7011_7492524813.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.12 Geodesia I
(+)","(+)","https://cms.fi.uba.ar/uploads/7012_0956ee869c.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.13 Geodesia II
(+)","(+)","https://cms.fi.uba.ar/uploads/7013_8b415df431.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.14 Fotogrametría I
(+)","(+)","https://cms.fi.uba.ar/uploads/7014_f6c1a7f429.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.15 Cartografía
(+)","(+)","https://cms.fi.uba.ar/uploads/7015_b8727d10e2.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.16 Fotogrametría II
(+)","(+)","https://cms.fi.uba.ar/uploads/7016_0d737cb06a.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.17 Geodesia III
(+)","(+)","https://cms.fi.uba.ar/uploads/7017_91b441d325.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.18 Catastro y Valuaciones
(+)","(+)","https://cms.fi.uba.ar/uploads/7018_a2fb1897d7.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.19 Levantamiento y Práctica Prof.
(+)","(+)","https://cms.fi.uba.ar/uploads/7019_0ab0a6a225.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.20 Fotointerpretación
(+)","(+)","https://cms.fi.uba.ar/uploads/7020_a153de8592.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.21 Información rural y colonización
(+)","(+)","https://cms.fi.uba.ar/uploads/7021_2805311c7d.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.22 Ordenamiento rural y urbano
(+)","(+)","https://cms.fi.uba.ar/uploads/7022_8ee3fbcb2b.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.23 Microgeodesia
(+)","(+)","https://cms.fi.uba.ar/uploads/7023_430dd2fdc9.pdf"
